id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22016962,Stephany's: Central apartment,15594725,Joao,Lisboa,Arroios,38.72994,-9.13988,Entire home/apt,48,1,21,2019-01-01,3.46,1,0
22017587,Close to the Tagus river,130569620,Lisbon Prime,Lisboa,Santa Maria Maior,38.71034,-9.13402,Entire home/apt,38,2,36,2019-01-20,2.61,2,345
22025108,Atlantico Beachview House,10692672,Magic Quiver,Mafra,Ericeira,38.96528,-9.41688,Entire home/apt,82,4,14,2018-10-18,1.29,8,263
22033368,NEW!!! HEART OF ALFAMA MODERN&COSY 1BDR,5707024,Marta,Lisboa,Santa Maria Maior,38.71196,-9.12906,Entire home/apt,84,2,9,2018-10-13,0.84,1,283
22039394,Trendy apartment in Great area with great accesses,160959045,Paulo,Lisboa,Parque das Naes,38.76336,-9.10274,Entire home/apt,60,2,14,2018-09-30,0.97,1,11
22041463,Charming duplex Lisbon central,6987711,Carla,Lisboa,Misericrdia,38.71138,-9.15266,Entire home/apt,120,2,2,2018-07-16,0.20,1,359
22046401,Xila´s House Cascais,161012742,Xilas,Cascais,Alcabideche,38.71272,-9.41621,Entire home/apt,50,2,10,2018-10-07,0.73,1,276
22047418,Lisboa Authentic - Bairro Azul Apartment,161021499,Sara,Lisboa,Avenidas Novas,38.73422,-9.15611,Entire home/apt,112,3,8,2018-11-09,0.75,1,185
22048278,Charming apart nearTejo 100 m2 - Parque das Nações,104453365,Fernanda,Lisboa,Parque das Naes,38.77949,-9.09517,Entire home/apt,120,2,20,2018-12-11,1.86,1,320
22048969,Historical center Cascais - sea side. room/living,108543972,Claudio Maximiano,Cascais,Cascais e Estoril,38.69692,-9.41983,Entire home/apt,38,3,18,2019-01-14,1.37,11,32
22052514,Resting Points - Costa III,6345051,Marta,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.799,-9.38823,Entire home/apt,68,2,7,2018-10-11,0.75,6,323
22055693,Flamingos,43259853,Caroline,Lisboa,Parque das Naes,38.78172,-9.09473,Private room,110,3,0,,,4,364
22055901,Apartamento Parque das Nações 3C,36624909,Best Place Portugal,Lisboa,Parque das Naes,38.75713,-9.09546,Entire home/apt,65,1,0,,,15,365
22058371,Secret studio in Janelas Verdes,19026699,Carlota,Lisboa,Estrela,38.70613,-9.15899,Entire home/apt,55,2,21,2019-02-11,1.45,4,90
22060312,Lisbon Heritage – City Center 3-bdr Apartment 6+1,153813306,Catarina,Lisboa,Lumiar,38.76433,-9.15768,Entire home/apt,99,1,24,2019-01-31,1.66,1,103
22061951,Encosta do Almargem,161145671,Encosta,Sobral De Monte Agrao,Sobral de Monte Agrao,39.01843,-9.14714,Entire home/apt,60,1,43,2019-01-02,3.98,1,282
22063459,Brand new flat 10 min walk to the beach!,46833762,Carla,Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.68634,-9.30988,Entire home/apt,35,2,20,2019-01-14,1.48,2,337
22064155,A View to the River Tejo - I.B.G. HOME,2701543,Teresa Maria,Loures,Moscavide e Portela,38.78542,-9.11097,Entire home/apt,54,2,10,2019-01-03,0.78,2,335
22066096,Balcony over Lisbon,10261210,Arturo,Lisboa,Campolide,38.72914,-9.15908,Entire home/apt,150,2,19,2019-01-16,1.97,3,347
22074273,Tejo90 - Penthouse by the River,161250840,Carla & João,Lisboa,Estrela,38.70382,-9.16016,Entire home/apt,90,2,16,2018-12-10,1.12,1,351
22075993,Trendy High Ceiling Apartment,158194520,Dermot,Lisboa,Arroios,38.72693,-9.13332,Entire home/apt,110,2,0,,,2,269
22076097,Be My Guest Oeiras/Carcavelos!,111377636,Cristine,Cascais,Carcavelos e Parede,38.69723,-9.32958,Entire home/apt,100,5,3,2018-08-22,0.28,1,0
22076128,WelcomHome,1281729,Maria,Lisboa,Arroios,38.7351,-9.13376,Private room,40,1,2,2017-12-06,0.14,1,0
22076858,"RH FARINHAS | 5, Lisbon Downtown",5471155,Cristóvão,Lisboa,Santa Maria Maior,38.71392,-9.1355,Entire home/apt,104,3,5,2018-06-11,0.35,27,349
22078536,CASAS DA VILLA RIBAMAR-CASA DO FORNO,23528793,Rui,Mafra,Santo Isidoro,39.00537,-9.41851,Entire home/apt,90,2,6,2018-10-11,0.96,20,349
22079855,Mouraria duplex apartment with terrace - Flat E,42835369,Cristina,Lisboa,Santa Maria Maior,38.7132,-9.13592,Entire home/apt,47,1,11,2019-01-13,0.80,5,14
22083646,Elegant apartment in Lisbon.,33679095,Decio,Lisboa,Parque das Naes,38.75701,-9.09568,Entire home/apt,120,2,22,2019-01-05,2.05,1,107
22085040,DESIGN LOFT BELÉM ( 110m2),132217576,Pedro,Lisboa,Belm,38.69519,-9.22019,Entire home/apt,80,2,15,2019-01-04,1.03,11,314
22085223,Apartamento Ideal,161299409,Elísio,Lisboa,Santo Antnio,38.72045,-9.14371,Entire home/apt,55,1,56,2019-02-09,3.87,3,14
22091629,DLG - Casa Castelo,161384330,Dominique,Lisboa,Santa Maria Maior,38.71254,-9.13166,Entire home/apt,41,1,44,2019-02-09,3.60,1,291
22092385,Artist suite (private bathroom),676330,Margarida,Lisboa,Estrela,38.70833,-9.15355,Private room,40,2,0,,,4,13
22092956,Apartamento T2  vista para o Panteão Nacional,78574742,Telmo,Lisboa,So Vicente,38.71494,-9.12613,Entire home/apt,100,2,1,2018-06-22,0.13,10,227
22092999,Calm and beautiful whole flat in great area,47047040,Fia,Lisboa,Arroios,38.72672,-9.14274,Entire home/apt,55,4,0,,,3,0
22093105,Modern Apartment Marquês,161395344,Sofia,Lisboa,Avenidas Novas,38.727,-9.14917,Entire home/apt,70,2,19,2019-02-10,1.41,1,303
22093681,CASAS DA VILLA RIBAMAR- ADEGA,23528793,Rui,Mafra,Santo Isidoro,39.00676,-9.41708,Entire home/apt,120,1,1,2018-08-12,0.16,20,365
22094478,Sao Paulo Palace,161404743,Sofia,Lisboa,Misericrdia,38.70744,-9.14636,Entire home/apt,300,3,19,2019-01-20,1.32,1,351
22094569,City and Relax,26166045,Helena,Odivelas,Ramada e Caneas,38.8047,-9.2192,Entire home/apt,40,29,0,,,1,194
22095248,Modern T3 apt in Entrecampos Av. 5 de Outubro,64230474,Mali,Lisboa,Avenidas Novas,38.74629,-9.14923,Entire home/apt,140,3,3,2018-03-09,0.22,10,253
22095772,Full apartment T1 in Lisbon,161411592,Tiago,Lisboa,Alvalade,38.74779,-9.13944,Entire home/apt,35,3,7,2019-01-21,0.56,1,57
