id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22919768,ST PAUL HOUSE Boutique & Apartment - Apartment,39528091,Ottavio,,I Centro Storico,41.88864,12.5108,Entire home/apt,195,1,7,2018-07-12,0.65,4,118
22919834,ST PAUL HOUSE Boutique & Apartment - Suite,39528091,Ottavio,,I Centro Storico,41.88703,12.51207,Entire home/apt,140,1,2,2019-01-01,0.27,4,125
22920381,DOMENICHINO7 in Monti District!,69988040,Chiara,,I Centro Storico,41.89438,12.49844,Entire home/apt,89,2,35,2019-02-28,3.13,2,238
22921372,My panoramic attic with a fireplace,169519918,Matteo,,V Prenestino/Centocelle,41.88012,12.56531,Entire home/apt,45,2,37,2019-01-27,3.39,1,261
22921466,La Foresteria Luxury Suites- Trevi Fountain,169707137,La Foresteria,,I Centro Storico,41.90199,12.48286,Private room,149,1,0,,,1,275
22921853,Double-Standard-Shared Bathroom,55377863,Emanuela,,I Centro Storico,41.9109,12.45378,Private room,70,1,0,,,5,168
22922218,Double-Superior-Private Bathroom-City View,55377863,Emanuela,,I Centro Storico,41.91069,12.45412,Private room,85,1,0,,,5,289
22922269,Single-Standard-Shared Bathroom-Garden View,55377863,Emanuela,,I Centro Storico,41.91094,12.45605,Private room,60,1,0,,,5,318
22922446,Camera Bianca,168722296,Marco,,VII San Giovanni/Cinecittà,41.87873,12.51871,Private room,80,2,1,2018-04-29,0.10,6,365
22923247,Alloggio Turistico Colosseo - YELLOW TROPICAL,3664160,Roberta,,VII San Giovanni/Cinecittà,41.88045,12.50645,Private room,50,2,31,2019-02-28,3.88,3,66
22924487,MODERN ROOM WITH PRIVATE BATHROOM INSIDE,167515928,Isabella,,I Centro Storico,41.90714,12.45003,Private room,85,2,4,2018-05-12,0.35,5,298
22924815,MODERN ROOM WITH PRIVATE BATHROOM INSIDE,167515928,Isabella,,I Centro Storico,41.90569,12.44931,Private room,80,2,1,2018-05-01,0.10,5,309
22924966,Suite Governo Vecchio,9700636,My Rental Homes,,I Centro Storico,41.89794,12.46999,Entire home/apt,112,3,0,,,9,215
22925415,Alloggio Turistico Colosseo - LILLAC FLAMINGO,3664160,Roberta,,VII San Giovanni/Cinecittà,41.88212,12.50654,Private room,39,2,31,2019-02-19,2.35,3,81
22925690,Alloggio Turistico Colosseo - BLU SEA,3664160,Roberta,,VII San Giovanni/Cinecittà,41.88007,12.50503,Private room,30,2,54,2019-02-28,4.19,3,22
22926787,Colosseum 500 mt  Double Room With Ensuite,23977719,Andrya,,I Centro Storico,41.89038,12.50034,Private room,100,1,20,2018-11-05,1.92,1,159
22930053,Terrazza Scotti,37548268,Laura,,XII Monte Verde,41.87013,12.44544,Private room,60,4,1,2018-03-18,0.08,2,164
22931636,Deliziosa camera doppia nel cuore di Roma,32147665,Agnes E Frici,,I Centro Storico,41.89344,12.50554,Private room,60,1,4,2018-08-03,0.30,1,296
22932204,Camera Monza,169828127,BiroRacing,,III Monte Sacro,41.9462,12.51806,Private room,60,1,0,,,2,300
22933848,Imola,169828127,BiroRacing,,III Monte Sacro,41.94612,12.51702,Shared room,55,1,1,2018-03-29,0.09,2,322
22934114,Appartamento Luminoso sui Tetti di Trastevere,13766340,Andreas,,I Centro Storico,41.89049,12.47117,Entire home/apt,200,3,52,2019-03-07,3.87,20,261
22934221,Trastevere Miracle Suite,38444297,Paolo,,I Centro Storico,41.88625,12.47199,Entire home/apt,120,2,25,2019-02-28,1.97,7,234
22935329,Beautiful apt with garden & terrace,107247539,"Loic, Estelle & Co",,I Centro Storico,41.88469,12.46632,Entire home/apt,78,1,1,2018-04-27,0.09,17,0
22935436,Cozy apartment near St.Peter and subway,44146711,Simone,,XIII Aurelia,41.90067,12.42699,Entire home/apt,50,2,48,2019-02-18,3.87,2,238
22936137,Alloggio Veio,157747449,Barbara,,XV Cassia/Flaminia,42.01686,12.37311,Private room,80,1,0,,,1,363
22936260,casa Drava,169866816,Roberta,,V Prenestino/Centocelle,41.87626,12.57449,Private room,13,1,9,2019-02-10,0.70,1,0
22936265,Piazza del Popolo-quiet attic in the heart of Rome,31727469,Giovanna,,II Parioli/Nomentano,41.91302,12.47486,Entire home/apt,170,4,0,,,1,0
22936899,La Risorgente B&B,169873046,Angiolino,,II Parioli/Nomentano,41.89991,12.51102,Private room,28,1,82,2019-01-28,6.10,2,128
22936931,NAZIONALE 196,3533887,Skywalker Company,,I Centro Storico,41.90013,12.49103,Entire home/apt,79,2,67,2019-03-02,5.76,12,63
22937769,La Vita è Bella-Room 1,5383661,Domenico,,VII San Giovanni/Cinecittà,41.88201,12.51091,Private room,35,3,23,2018-11-06,1.91,1,2
22938673,Stanza privata a due passi da metro San Paolo,169889048,Camilla,,VIII Appia Antica,41.84994,12.47822,Private room,30,1,14,2018-09-13,1.09,2,0
22939363,MokaBnB,40794573,Jonas,,VI Roma delle Torri,41.86953,12.6234,Private room,15,2,50,2019-03-04,3.91,1,31
22940411,next to colosseo room 2 shared bath,623119,Gabriela,,VII San Giovanni/Cinecittà,41.8854,12.50816,Private room,50,1,0,,,3,362
22941914,Parioli luxury apartment near Villa Borghese,5264161,Valeria,,II Parioli/Nomentano,41.92215,12.4848,Entire home/apt,180,3,17,2019-01-04,1.78,3,329
22947971,The Regal Suite,19178087,R & B,,I Centro Storico,41.89991,12.49227,Entire home/apt,149,1,5,2018-10-18,0.40,19,339
22948042,ITHSROM201-1 Luxury 2 Bedroom Apartment in Rome,4486574,Important Group,,I Centro Storico,41.90036,12.46848,Entire home/apt,385,2,0,,,5,364
